Date,Close,High,Low,Open,Volume,sentiment_score
2013-09-09,22.041303634643555,22.083498311515264,21.90156840951544,21.934081295029635,49334616,0.0
2013-09-10,22.05668830871582,22.13933916089911,21.94077924243273,22.090196228990536,51452496,0.0
2013-09-11,22.243337631225582,22.262697429607833,21.99240747918242,22.05346632346459,64359576,0.0
2013-09-12,22.1656494140625,22.28577890493643,22.08995060130072,22.27336737178644,43776180,0.0
2013-09-13,22.06661796569824,22.23067682878973,21.96162975188776,22.20139121034615,52962984,0.0
2013-09-16,22.034103393554688,22.263439620388187,21.962375287833048,22.24358419412413,53406540,0.0
2013-09-17,21.99315071105957,22.049739430369808,21.866320775706395,22.025415777468456,50325624,0.0
2013-09-18,22.42030334472656,22.436435879241333,21.917699604385785,21.9991095038749,77310612,0.0
2013-09-19,22.297937393188477,22.486569605921055,22.22372736387206,22.486569605921055,63852084,0.0
2013-09-20,22.41508674621582,22.440403547361814,22.22918617344304,22.29793671547763,173638188,0.0
2013-09-23,22.002832412719727,22.377363351775553,21.970565451952623,22.24234417737259,71024904,0.0
2013-09-24,22.01127243041992,22.0921848132437,21.87625135766094,22.002833495140372,59412528,0.0
2013-09-25,21.772750854492188,22.004071478822855,21.73229466856031,22.004071478822855,65894040,0.0
2013-09-26,21.79608154296875,21.909756502732105,21.717401392422452,21.79930691459506,50345604,0.0
2013-09-27,21.75190544128418,21.779951990419683,21.62582082328671,21.712936136536342,50301648,0.0
2013-09-30,21.739990234375,21.86235195285325,21.551358000896983,21.57046998459882,68827104,0.0
2013-10-01,22.015241622924805,22.031871677831344,21.842743819864,21.847707676544097,67324608,0.0
2013-10-02,22.039813995361328,22.073817550042197,21.78739506266107,21.909261154238052,59752188,0.0
2013-10-03,21.74445343017578,22.191459642249995,21.64542223129435,22.04005824833832,84595320,0.0
2013-10-04,21.651630401611328,21.779699410510982,21.59330319701158,21.717401499121273,54265680,0.0
2013-10-07,21.487571716308594,21.69233648829113,21.44711552594415,21.530014206115787,51692256,0.0
2013-10-08,21.187992095947266,21.49352461787755,21.137358495251423,21.477144271601485,77670252,0.0
2013-10-09,21.24234962463379,21.41087671896596,20.922670825885383,21.25277485858335,105945948,0.0
2013-10-10,21.549623489379883,21.5642672466923,21.35032007956112,21.44041673755343,90121788,0.0
2013-10-11,21.6426944732666,21.679675582807125,21.476649310346794,21.494768143390896,56299644,0.0
2013-10-14,21.74495506286621,21.748430141123077,21.47888551641633,21.51040714352258,49694256,0.0
2013-10-15,21.89138984680176,21.98123678247858,21.692582101607105,21.73626555120494,63612324,0.0
2013-10-16,22.289005279541016,22.29645106473784,21.94103021612625,21.987195597717545,80223696,0.0
2013-10-17,22.059669494628903,22.260957279736623,21.983719085491273,22.16391237229782,170093736,0.0
2013-10-18,25.103084564208984,25.203606447823876,24.174572827662992,24.23860733706049,462193344,0.0
2013-10-21,24.901798248291016,25.29147048880781,24.80872214433446,25.104327022846785,144986868,0.0
2013-10-22,24.993627548217773,25.142547032239452,24.715398084142414,24.943988981353,88255656,0.0
2013-10-23,25.5994815826416,25.68238025508362,24.835524404199862,24.844708673624037,106421472,0.0
2013-10-24,25.454036712646484,25.82683294495696,25.43542224999433,25.6108995030509,83600316,0.0
2013-10-25,25.1971492767334,25.53519659118377,25.08645376835127,25.53519659118377,81138780,0.0
2013-10-28,25.19218635559082,25.40141744561016,25.14229808476888,25.197150212053614,46301652,0.0
2013-10-29,25.71936416625977,25.736737665658804,25.154960008300364,25.293949895206445,64135800,0.0
2013-10-30,25.57490921020508,25.750883980933015,25.465206843834206,25.74889768159882,52911036,0.0
2013-10-31,25.578886032104492,25.85041508763398,25.414825246866993,25.537932316498942,65534400,0.0
2013-11-01,25.49102210998535,25.713408208160672,25.442870425344964,25.608917501285667,51280668,0.0
2013-11-04,25.467939376831055,25.623311511201383,25.36667404225204,25.601717597502414,45506448,0.0
2013-11-05,25.354013442993164,25.605437317391424,25.252250600279556,25.32497374714425,47208744,0.0
2013-11-06,25.384538650512695,25.4900243799244,25.201369705321575,25.455277385952986,36479484,0.0
2013-11-07,25.0172061920166,25.413828531674028,25.009510701263697,25.38106594456745,67116816,0.0
2013-11-08,25.21775245666504,25.279057222615354,25.03085870973298,25.03706353067651,51580368,0.0
2013-11-11,25.08273124694824,25.21527038331018,25.018448924000108,25.055927555654517,44459496,0.0
2013-11-12,25.112266540527344,25.255724637324988,24.94398727028628,25.01100122267049,48675276,0.0
2013-11-13,25.625789642333984,25.63522172623657,24.981218507864863,24.987423328402464,63112824,0.0
2013-11-14,25.694292068481445,25.80647824920711,25.57317132463074,25.661779187594284,46621332,0.0
2013-11-15,25.65284538269043,25.763047167279662,25.572180816615933,25.68536015864991,51000948,0.0
2013-11-18,25.602956771850582,26.029610070799812,25.54562271646057,25.70719964905353,70317612,0.0
2013-11-19,25.445348739624023,25.68237854351421,25.39198539484124,25.607173475208366,45218736,0.0
2013-11-20,25.373620986938477,25.647881647925868,25.325223382091593,25.56324637428415,38509452,0.0
2013-11-21,25.665502548217773,25.770738575259006,25.46520602153877,25.490025303846533,43628328,0.0
2013-11-22,25.61139488220215,25.717624063100033,25.545126260778694,25.64936914232759,50117832,0.0
2013-11-25,25.959867477416992,26.140060784205996,25.68908377993036,25.742197428435567,64455480,0.0
2013-11-26,26.269617080688477,26.34631093185182,25.885654087632513,26.02613462833699,91360548,0.0
2013-11-27,26.386274337768555,26.507642909475887,26.309084849319007,26.359468753724588,44899056,0.0
2013-11-29,26.298906326293945,26.473390429765065,26.29543124825417,26.36269491175999,47664288,0.0
2013-12-02,26.172075271606445,26.46668696501481,26.079746405689445,26.39619982438061,54873072,0.0
2013-12-03,26.141799926757812,26.394466687488723,26.03656388513418,26.084465863311305,66976956,0.0
2013-12-04,26.263912200927734,26.407865940993418,26.0608840243564,26.09488757873674,47616336,0.0
2013-12-05,26.243061065673828,26.300642934429742,26.087936771126618,26.239584096168475,45302652,0.0
2013-12-06,26.554052352905273,26.55727961613141,26.311065537623247,26.55206794544676,57094848,0.0
2013-12-09,26.759315490722656,26.86281493027247,26.50813753004592,26.58185382921936,59244696,0.0
2013-12-10,26.921140670776367,27.111011963751093,26.697511748797616,26.709923281658103,74081844,0.0
2013-12-11,26.738218307495117,27.086441170286303,26.68560029269413,26.98914655453061,68403528,0.0
2013-12-12,26.55628776550293,26.878450373252765,26.5324616328409,26.794806365171436,63796140,0.0
2013-12-13,26.328689575195312,26.713397930380086,26.25671365260258,26.69131028130017,86409504,0.0
2013-12-16,26.631242752075195,26.673685237566087,26.358968419007635,26.408361060127586,64015920,0.0
2013-12-17,26.553808212280273,26.824344088651205,26.517074914510378,26.62727480782007,61366572,0.0
2013-12-18,26.923376083374023,26.928339940072252,26.28525565773645,26.603197867769925,88323588,0.0
2013-12-19,26.95985984802246,27.103070131386957,26.78264412169907,26.824589086470297,66561372,0.0
2013-12-20,27.31726455688477,27.330915161676867,27.004036523227423,27.011484199373,130333536,0.0
2013-12-23,27.67665672302246,27.69403022043695,27.42895574834335,27.49646533046778,68795136,0.0
2013-12-24,27.59574508666992,27.680132539505777,27.50291869937912,27.67343019815319,29338632,0.0
2013-12-26,27.7352352142334,27.77345729167314,27.51756516520574,27.649606788828304,53458488,0.0
2013-12-27,27.758563995361328,27.80522500518727,27.62304730190065,27.798276740811584,62725212,0.0
2013-12-30,27.53667449951172,27.810687344973548,27.52575552772727,27.806716637805227,49394556,0.0
2013-12-31,27.815898895263672,27.823096866063903,27.45725077803751,27.605674638480703,54261684,0.0
2014-01-02,27.627511978149418,27.742427894776473,27.50688687034615,27.68558947261609,72783144,0.0
2014-01-03,27.42597770690918,27.722078188437397,27.42424111376404,27.67417621499381,66601332,0.0
2014-01-06,27.73175621032715,27.76997828235626,27.461715994534845,27.62478359319762,70701228,0.0
2014-01-07,28.266380310058594,28.28698107278232,27.82706762618986,27.922375948278628,102001896,0.0
2014-01-08,28.3252010345459,28.476354626927172,28.12813176948302,28.44359203895862,89610300,0.0
2014-01-09,28.05242919921875,28.399411069445435,27.936272316306507,28.38005127367448,83296620,0.0
2014-01-10,28.050941467285156,28.271838750489675,27.854118130746,28.271838750489675,85654260,0.0
2014-01-13,27.872241973876953,28.46617956089959,27.728036633655226,27.95886165541195,96659244,0.0
2014-01-14,28.527978897094727,28.56769164003015,27.99906713373135,28.24379055118404,99204696,0.0
2014-01-15,28.508621215820312,28.66697278692995,28.38874142640008,28.617084513009857,77929992,0.0
2014-01-16,28.697254180908203,28.73969477904152,28.493234743953437,28.52053595689126,67288644,0.0
2014-01-17,28.556028366088867,28.8067088152328,28.39891964645824,28.7128892712167,107943948,0.0
2014-01-21,28.882904052734375,28.89034983732926,28.575137389291367,28.81415161489986,79116804,0.0
2014-01-22,28.915666580200195,28.986899054372177,28.762776398416808,28.955129616814236,62793144,0.0
2014-01-23,28.793554306030273,28.85287277152638,28.65133527244935,28.791072377697496,77886036,0.0
2014-01-24,27.893333435058594,28.6309806029027,27.872732675811378,28.5679373611513,155544300,0.0
2014-01-27,27.332406997680664,27.959606578570295,26.861822396995745,27.949678864883687,173969856,0.0
2014-01-28,27.872982025146484,27.940989126681817,27.548585313252666,27.558017396931533,88319592,0.0
2014-01-29,27.473628997802734,27.841707254173407,27.287480609100303,27.77643178923808,95100804,0.0
2014-01-30,28.18025016784668,28.604671217849617,27.978217061297045,28.418770643745557,203452344,0.0
2014-01-31,29.31154441833496,29.44979084936362,28.57091772897451,29.072776109200102,222429348,0.0
2014-02-03,28.13160514831543,29.33015698337588,28.09636063422248,29.267611260148183,182581236,0.0
2014-02-04,28.249008178710938,28.666974784875467,28.220466000288106,28.24478776513317,112363524,0.0
2014-02-05,28.374094009399418,28.561980882396053,27.997329005550792,28.378562236602303,95684220,0.0
2014-02-06,28.79007911682129,28.795042973467673,28.48206273168776,28.57091841405711,77786136,0.0
2014-02-07,29.22392845153809,29.235344942719692,28.80496876330581,28.9804460024934,105342552,0.0
2014-02-10,29.11199378967285,29.347037319264352,29.01494698759337,29.083945351349374,77730192,0.0
2014-02-11,29.540138244628903,29.582083214797297,29.09412509771415,29.29169190394001,81949968,0.0
2014-02-12,29.453516006469727,29.53566935168522,29.321722200450147,29.51085006714006,68911020,0.0
2014-02-13,29.78138732910156,29.78138732910156,29.27903139811103,29.306084796147964,73382544,0.0
2014-02-14,29.853361129760746,29.892826058766044,29.605162631041416,29.674906327837864,87380532,0.0
2014-02-18,30.053905487060547,30.10329812903485,29.783865263039484,29.818861964553257,84271644,0.0
2014-02-19,29.84194564819336,30.01270685670729,29.72181615574576,29.915412239829895,84059856,0.0
2014-02-20,29.88587760925293,29.954875974832422,29.78932832531241,29.86180176896313,67963968,0.0
2014-02-21,29.877933502197266,30.028839283614342,29.854355183243467,29.977710047038343,74417508,0.0
2014-02-24,30.09436416625977,30.284235463612852,29.910447983423644,29.91690061862611,66905028,0.0
2014-02-25,30.280263900756836,30.39195256221088,30.042488745794305,30.179494210084332,57490452,0.0
2014-02-26,30.28448486328125,30.500666125158915,30.12538984669736,30.379545370033338,79208712,0.0
2014-02-27,30.260658264160156,30.385254095498397,30.206053948121376,30.24030531642895,50349600,0.0
2014-02-28,30.172298431396484,30.38425926495747,29.93824616643327,30.28870313596101,92451456,0.0
2014-03-03,29.85063362121582,29.97845671835288,29.588782605887832,29.951403320215288,84107808,0.0
2014-03-04,30.1539306640625,30.18098406092571,30.019656829411023,30.156164777879397,58649292,0.0
2014-03-05,30.237077713012695,30.356711577963228,30.067061837574855,30.157406299590125,49362588,0.0
2014-03-06,30.270586013793945,30.432908291705967,30.2455170237711,30.33685463660486,50673276,0.0
2014-03-07,30.15095329284668,30.453756114734915,30.06780680241478,30.44904007258428,60543396,0.0
2014-03-10,30.071033477783203,30.22168955059932,29.885378811255745,30.17329005759329,48535416,0.0
2014-03-11,29.783618927001953,30.13928758457125,29.700472435218664,30.12563697858967,68451480,0.0
2014-03-12,29.96505546569824,29.97870607271791,29.3914670226494,29.694517686998587,78493428,0.0
2014-03-13,29.51233673095703,30.044475773810227,29.405611923347188,29.981184711041863,93730176,0.0
2014-03-14,29.1087646484375,29.5572615799214,29.10206419867764,29.33685991389336,91664244,0.0
2014-03-17,29.58778953552246,29.71114439725928,29.24055793370612,29.268854186034964,86397516,0.0
2014-03-18,30.06333923339844,30.07004157503733,29.61161691898944,29.651577479187,72527400,0.0
2014-03-19,29.7652530670166,30.08145869368815,29.64512546114117,30.07674265133598,64451484,0.0
2014-03-20,29.713380813598633,30.02238847395373,29.66870420957161,29.782626996026934,67320612,0.0
2014-03-21,29.36292266845703,30.022882932792676,29.34827891276013,29.940481776042738,128211660,0.0
2014-03-24,28.73969459533691,29.409086962462883,28.44235313723338,29.391465648931128,121362516,0.0
2014-03-25,28.759302139282227,29.0352974806741,28.468413336593837,28.939989165287184,96311592,0.0
2014-03-26,28.095369338989254,29.0782375249868,28.083705032819942,28.840957994152628,103096800,0.0
2014-03-27,27.656309127807617,28.094626783344687,27.354001911442097,28.06757338421547,152735112,0.0
