Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2017-04-20,936.9114990234375,939.5302583197835,922.991766476075,928.773220574656,1268842
2017-04-21,930.9893798828125,941.0010421754557,927.0410757506812,938.3622164547008,1161154
2017-04-24,937.959228515625,942.6124845784119,919.5875818407453,926.6380890399624,2000020
2017-04-25,931.2711791992188,944.5462559383011,927.7257620029485,937.9187995569031,3148710
2017-04-26,930.8077392578125,944.3446502748915,927.8666516914424,942.7532701960881,2187438
2017-04-27,927.705322265625,937.8379632396465,917.6331732024809,929.0751935547111,5773186
2017-04-28,915.8204345703125,926.134357350511,913.7456106453329,924.2206485098737,2540510
2017-05-02,922.5689086914062,927.4438702032,918.5803753532998,924.2207811668727,2382696
2017-05-03,941.6658325195312,944.7680362499675,913.9472453019408,924.6237284407997,3514406
2017-05-04,938.7648315429688,946.78222465421,930.1833389409536,946.7620606793873,2708208
2017-05-05,934.8970947265625,939.7317274077599,927.6451457047663,929.8610190169817,1682474
2017-05-08,943.7407836914062,945.735050760311,933.7693499859915,935.0988941522251,1071782
2017-05-09,947.8096313476562,951.2139989227946,939.7519100522493,944.3447718462891,1790270
2017-05-10,939.711669921875,949.260050877102,933.0842132092072,948.7967712036627,1206388
2017-05-11,946.5607299804688,950.8111980166568,935.803690759826,945.6945642079774,2071302
2017-05-12,951.072998046875,954.7996943364006,934.7158819980139,944.0829834824973,2314446
2017-05-15,952.8660888671875,958.0431169659489,943.3982641816407,956.8949504355053,1817604
2017-05-16,978.6704711914062,981.0273935963323,956.2297410388036,958.8686639668464,3601026
2017-05-17,989.2265625,991.4021083980952,976.1931560087716,980.4234606468615,2876198
2017-05-18,1021.7994995117188,1036.222838632978,983.9483777804784,987.0707444209938,5138594
2017-05-19,1010.095703125,1023.5521559745381,1001.5747026618988,1021.7995623435611,1786044
2017-05-22,1019.8456420898438,1028.8702502661931,1011.243985577345,1011.243985577345,1663940
2017-05-23,1015.9578857421875,1033.0603814702756,1012.8556823617811,1020.591076015521,2748596
2017-05-24,1031.0457763671875,1035.4171292728547,1019.1606381128883,1021.2355602483692,2534548
2017-05-25,1057.4151611328125,1062.6325177568935,1034.6117628411025,1038.2377386454523,4094094
2017-05-26,1038.7410888671875,1058.3213927006036,1033.261798554707,1057.5760140701511,1362550
2017-05-29,1036.5654296875,1046.0936455782542,1032.9998487435562,1039.04313959034,1749290
